datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 10:15:00,3080.29,2024,6,1,10,15,5,153,745.0,2024-06-01
2024-06-01 10:20:00,2699.01,2024,6,1,10,20,5,153,750.0,2024-06-01
2024-06-01 10:25:00,2801.1800000000003,2024,6,1,10,25,5,153,755.0,2024-06-01
2024-06-01 10:30:00,2810.84,2024,6,1,10,30,5,153,760.0,2024-06-01
2024-06-01 10:35:00,2689.2200000000003,2024,6,1,10,35,5,153,765.0,2024-06-01
2024-06-01 10:40:00,2525.09,2024,6,1,10,40,5,153,770.0,2024-06-01
2024-06-01 10:45:00,2230.02,2024,6,1,10,45,5,153,775.0,2024-06-01
2024-06-01 10:50:00,2084.6,2024,6,1,10,50,5,153,780.0,2024-06-01
2024-06-01 10:55:00,1835.89,2024,6,1,10,55,5,153,785.0,2024-06-01
2024-06-01 11:00:00,1672.85,2024,6,1,11,0,5,153,790.0,2024-06-01
2024-06-01 11:05:00,1553.16,2024,6,1,11,5,5,153,795.0,2024-06-01
2024-06-01 11:10:00,1524.25,2024,6,1,11,10,5,153,800.0,2024-06-01
2024-06-01 11:15:00,1440.49,2024,6,1,11,15,5,153,805.0,2024-06-01
2024-06-01 11:20:00,1431.97,2024,6,1,11,20,5,153,810.0,2024-06-01
2024-06-01 11:25:00,0.0,2024,6,1,11,25,5,153,815.0,2024-06-01
2024-06-01 11:30:00,0.0,2024,6,1,11,30,5,153,820.0,2024-06-01
2024-06-01 11:35:00,0.0,2024,6,1,11,35,5,153,825.0,2024-06-01
2024-06-01 11:40:00,0.0,2024,6,1,11,40,5,153,830.0,2024-06-01
2024-06-01 11:45:00,0.0,2024,6,1,11,45,5,153,835.0,2024-06-01
2024-06-01 11:50:00,0.0,2024,6,1,11,50,5,153,840.0,2024-06-01
2024-06-01 11:55:00,0.0,2024,6,1,11,55,5,153,845.0,2024-06-01
2024-06-01 12:00:00,0.0,2024,6,1,12,0,5,153,850.0,2024-06-01
2024-06-01 12:05:00,0.0,2024,6,1,12,5,5,153,855.0,2024-06-01
2024-06-01 12:10:00,0.0,2024,6,1,12,10,5,153,860.0,2024-06-01
2024-06-01 12:15:00,0.0,2024,6,1,12,15,5,153,865.0,2024-06-01
2024-06-01 12:20:00,0.0,2024,6,1,12,20,5,153,870.0,2024-06-01
2024-06-01 12:25:00,0.0,2024,6,1,12,25,5,153,875.0,2024-06-01
2024-06-01 12:30:00,0.0,2024,6,1,12,30,5,153,880.0,2024-06-01
2024-06-01 12:35:00,0.0,2024,6,1,12,35,5,153,885.0,2024-06-01
